2026-04-23T01:54:38Z INF Thank you for trying Cloudflare Tunnel. Doing so, without a Cloudflare account, is a quick way to experiment and try it out. However, be aware that these account-less Tunnels have no uptime guarantee, are subject to the Cloudflare Online Services Terms of Use (https://www.cloudflare.com/website-terms/), and Cloudflare reserves the right to investigate your use of Tunnels for violations of such terms. If you intend to use Tunnels in production you should use a pre-created named tunnel by following: https://developers.cloudflare.com/cloudflare-one/connections/connect-apps
2026-04-23T01:54:38Z INF Requesting new quick Tunnel on trycloudflare.com...
2026-04-23T01:54:42Z INF +--------------------------------------------------------------------------------------------+
2026-04-23T01:54:42Z INF |  Your quick Tunnel has been created! Visit it at (it may take some time to be reachable):  |
2026-04-23T01:54:42Z INF |  https://inspiration-jon-substance-interaction.trycloudflare.com                           |
2026-04-23T01:54:42Z INF +--------------------------------------------------------------------------------------------+
2026-04-23T01:54:42Z INF Cannot determine default configuration path. No file [config.yml config.yaml] in [~/.cloudflared ~/.cloudflare-warp ~/cloudflare-warp]
2026-04-23T01:54:42Z INF Version 2026.3.0 (Checksum 59b12880b24af581cf5b1013db601c7d843b9b097e9c78aa5957c7f39f741885)
2026-04-23T01:54:42Z INF GOOS: windows, GOVersion: go1.24.13, GoArch: amd64
2026-04-23T01:54:42Z INF Settings: map[ha-connections:1 no-autoupdate:true protocol:quic url:http://localhost:8000]
2026-04-23T01:54:42Z INF cloudflared will not automatically update on Windows systems.
2026-04-23T01:54:42Z INF Generated Connector ID: 64565d28-df52-4a47-95d3-f44efe9c15c7
2026-04-23T01:54:42Z INF Initial protocol quic
2026-04-23T01:54:42Z INF ICMP proxy will use 192.168.1.6 as source for IPv4
2026-04-23T01:54:42Z INF ICMP proxy will use 2001:4453:55e:3c00:8944:9810:bc34:b002 in zone Ethernet as source for IPv6
2026-04-23T01:54:42Z INF cloudflared does not support loading the system root certificate pool on Windows. Please use --origin-ca-pool <PATH> to specify the path to the certificate pool
2026-04-23T01:54:42Z INF ICMP proxy will use 192.168.1.6 as source for IPv4
2026-04-23T01:54:42Z INF Tunnel connection curve preferences: [X25519MLKEM768 CurveP256] connIndex=0 event=0 ip=198.41.192.107
2026-04-23T01:54:42Z INF ICMP proxy will use 2001:4453:55e:3c00:8944:9810:bc34:b002 in zone Ethernet as source for IPv6
2026-04-23T01:54:42Z INF Starting metrics server on 127.0.0.1:20242/metrics
2026-04-23T01:54:42Z INF Registered tunnel connection connIndex=0 connection=1bbde2f1-7585-4667-9187-4b6d4e76dc99 event=0 ip=198.41.192.107 location=mnl02 protocol=quic
2026-04-23T01:54:47Z ERR Failed to initialize DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T01:59:52Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:04:57Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:10:02Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:15:07Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:20:12Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:25:17Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:30:18Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:35:23Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:40:28Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:45:33Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:50:38Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T02:55:43Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T03:00:48Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T03:05:53Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T03:10:58Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T03:16:03Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T03:21:08Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T03:26:13Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T03:31:18Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T03:36:23Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
2026-04-23T03:41:28Z ERR Failed to refresh DNS local resolver error="lookup region1.v2.argotunnel.com: i/o timeout"
